Area,Baths,Bedrooms,Price,location
18 Marla,6,5,PKR15 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,-,-,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR12 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
11.9 Marla,4,3,PKR3.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR7.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR8.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12 Marla,3,3,PKR3.15 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,6,5,PKR22 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
4 Marla,2,2,PKR1.1 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR16.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12.2 Marla,4,3,PKR3.01 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12.4 Marla,4,3,PKR2.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR8.85 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR8.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
7.7 Marla,2,2,PKR4.33 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.2 Kanal,6,6,PKR7.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR17 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR39 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR8.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.35 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,7,PKR11.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5.3 Marla,2,2,PKR1.11 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.49 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12 Marla,6,5,PKR7.45 Crore,"DHA Defence, Islamabad, Islamabad Capital"
4 Kanal,7,8,PKR60 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5 Marla,2,2,PKR75 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,4,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR8.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR20 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.5 Kanal,6,6,PKR7.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
14 Marla,6,9,PKR5.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2.1 Marla,1,1,PKR45 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
2.1 Marla,1,1,PKR45 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.65 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR8.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.65 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR4.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR9.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,6,PKR9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,-,6,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR7.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR14 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR78 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
5.1 Marla,2,2,PKR1.1 Crore,"DHA Defence, Islamabad, Islamabad Capital"
6 Marla,5,4,PKR4.6 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5 Marla,2,2,PKR69.5 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
11.9 Marla,3,3,PKR3.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,4,3,PKR3.05 Crore,"DHA Defence, Islamabad, Islamabad Capital"
7.3 Marla,3,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR14.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12 Marla,6,5,PKR4.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR78 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
3.9 Marla,2,2,PKR80 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
7.9 Marla,3,3,PKR2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
14 Marla,4,3,PKR3.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR12.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.2 Kanal,5,5,PKR10.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
14.2 Marla,5,4,PKR3.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,5,PKR13.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR78 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.3 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,3,3,PKR2.85 Crore,"DHA Defence, Islamabad, Islamabad Capital"
11 Marla,4,3,PKR3.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR80 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5.1 Marla,3,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5.1 Marla,3,3,PKR1.53 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR14.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
11.6 Marla,3,3,PKR3.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5 Marla,2,2,PKR69.5 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
5.2 Marla,2,2,PKR2.94 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,4,3,PKR1.49 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,7,PKR12.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,4,3,PKR1.3 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.47 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,4,3,PKR2.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,3,3,PKR3 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,6,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
6 Marla,5,4,PKR4.65 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2.7 Marla,1,1,PKR64 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
5 Marla,2,2,PKR64 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5.3 Marla,4,4,PKR2.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
2 Kanal,7,6,PKR20 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR12 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
6.6 Marla,3,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
6 Marla,2,2,PKR1.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
8 Marla,3,3,PKR3.41 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR14.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,3,3,PKR3.35 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.5 Kanal,6,6,PKR16.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
11.6 Marla,4,3,PKR4.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.4 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,-,-,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR7.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.2 Kanal,6,5,PKR15 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.49 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
6.6 Marla,3,3,PKR1.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR9.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,-,6,PKR12 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.25 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
14.2 Marla,5,4,PKR4.15 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR14.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.45 Crore,"DHA Defence, Islamabad, Islamabad Capital"
7.5 Marla,3,3,PKR1.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR9.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
9 Marla,5,5,PKR4.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
9 Marla,5,5,PKR4.15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
12 Marla,6,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,6,5,PKR3.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
6.9 Marla,2,2,PKR1.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.9 Marla,1,-,PKR78 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
7.1 Marla,2,2,PKR1.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,4,4,PKR4.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR9.95 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,7,PKR12.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,4,PKR6.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR4.15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
6.1 Marla,2,2,PKR1.18 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.2 Marla,1,1,PKR1.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.2 Marla,2,2,PKR98 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5.6 Marla,3,2,PKR1.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.9 Marla,1,1,PKR55.85 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.45 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10.9 Marla,3,3,PKR2.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR3.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.9 Marla,2,1,PKR1.23 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,4,PKR2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR3.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.1 Marla,2,2,PKR1.47 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Kanal,7,6,PKR15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.42 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.38 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.8 Marla,1,-,PKR65 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
1.8 Marla,1,-,PKR45 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR9.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.9 Marla,1,-,PKR79 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR1.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR3.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7 Marla,2,2,PKR1.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,4,4,PKR5.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,4,4,PKR5.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.7 Marla,1,1,PKR1.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,4,PKR1.55 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.7 Marla,1,1,PKR50 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR3.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5.1 Marla,2,1,PKR1.04 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR1.89 Crore,"Bahria Town, Islamabad, Islamabad Capital"
